MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,1,1,182,3,17,0,0,1,1,1,1,1,1,23400000000
1,1,2,110,2,20,0,,2,1,1,1,0,1,12500000000
1,1,3,570,4,2,0,0,9,1,1,5,0,1,3.50E+11
1,1,2,129,2,0,0,0,1,1,1,1,0,1,17800000000
1,1,4,65,2,14,0,0,6,1,1,1,0,0,13500000000
1,1,3,57,1,7,0,0,3,1,1,1,0,1,1800000000
1,1,5,79,2,4,0,0,4,1,1,1,0,0,16200000000
1,1,4,60,1,2,0,,3,1,0,1,0,1,8400000000
1,1,3,75,1,12,0,0,2,1,1,1,1,0,13500000000
1,1,4,55,1,9,0,,1,1,1,0,1,0,13000000000
1,1,4,120,2,6,1,,3,1,1,1,1,1,1800000000
1,1,5,100,2,12,1,,4,1,1,1,1,1,1700000000
1,1,6,80,2,15,1,,3,0,1,1,1,0,900000000
1,1,5,65,1,8,1,,3,1,1,1,1,1,1050000000
1,1,7,150,3,5,1,,4,4,1,1,0,1,1400000000
1,1,5,90,2,1,1,,4,0,1,1,0,1,1300000000
1,1,81,280,3,2,0,,6,1,1,1,0,1,86800000000
1,1,81,256,3,2,0,3,5,1,1,1,0,1,76500000000
1,1,81,135,3,1,0,3,6,1,1,1,0,1,37500000000
1,1,81,110,2,1,0,3,5,1,1,1,0,1,31500000000
1,1,83,120,2,1,0,3,3,1,1,1,0,1,36000000000
1,1,83,110,2,1,0,3,3,1,1,1,0,1,33000000000
1,1,81,320,4,1,0,3,4,1,1,1,0,1,96000000000
1,1,81,230,3,1,0,3,3,1,1,1,0,1,69500000000
1,1,1,210,3,1,0,0,3,1,1,1,0,1,49900000000
1,1,1,241,3,5,0,,4,1,1,1,0,1,42000000000
1,1,85,305,4,14,0,,4,1,1,1,0,1,57000000000
1,1,81,250,3,1,0,3,6,1,1,1,0,1,75000000000
1,1,4,174,3,1,0,3,4,1,1,1,0,1,49500000000
1,1,86,200,3,17,0,,2,1,1,1,1,1,31000000000
1,1,86,125,2,17,0,3,3,1,1,1,0,0,13000000000
1,1,81,196,3,17,0,3,4,1,1,1,1,1,36500000000
1,1,1,160,3,2,0,,3,1,1,1,0,1,31000000000
1,1,1,130,2,4,1,,2,1,1,1,0,0,600000000
1,1,96,100,2,1,1,,2,1,1,1,0,1,600000000
1,1,86,130,2,1,1,3,2,1,1,1,0,1,2000000000
1,1,86,95,2,22,1,,2,1,1,1,1,1,1350000000
1,1,86,140,3,4,1,3,3,1,1,1,0,1,500000000
1,1,81,100,2,1,1,,4,1,1,1,0,0,500000000
1,1,96,100,2,12,1,3,3,1,1,1,0,1,300000000
1,1,86,100,2,5,1,3,5,1,1,1,0,1,300000000
1,1,83,125,2,5,1,,4,1,1,1,0,1,1000000000
1,1,96,95,1,12,1,3,2,1,1,1,1,1,300000000
1,1,1,120,2,4,1,3,4,1,1,1,0,1,2000000000
1,1,86,130,2,5,1,3,2,1,1,1,0,1,1000000000
1,1,3,200,3,1,1,,5,1,1,1,0,1,3000000000
1,1,86,175,3,2,0,,2,1,1,1,0,1,35600000000
1,1,86,150,3,5,0,3,5,1,1,1,0,0,22000000000
1,1,81,171,3,7,0,3,1,1,1,1,0,1,25000000000
1,1,97,143,3,1,0,3,5,1,1,1,0,1,28000000000
1,1,3,130,3,1,0,3,4,1,1,1,0,1,25000000000
1,1,86,139,3,3,0,3,1,1,1,1,0,1,25000000000
1,1,96,180,3,9,0,3,3,1,1,1,1,1,35000000000
1,1,86,150,3,7,0,3,4,1,1,1,0,1,26000000000
1,1,1,138,3,1,0,3,4,1,1,1,0,1,24000000000
1,1,97,151,3,9,0,3,5,1,1,1,0,1,21700000000
1,1,96,160,3,6,0,3,5,1,1,1,0,1,27000000000
1,2,8,63,2,17,0,,1,0,1,1,1,1,5500000000
1,2,8,81,2,20,0,0,2,1,1,1,1,0,8450000000
1,2,8,46,1,14,0,,1,1,1,1,1,0,4360000000
1,2,8,115,2,0,0,0,2,0,1,1,0,0,16000000000
1,2,9,73,2,20,0,,4,0,1,1,1,1,6350000000
1,2,8,90,2,18,0,,1,0,1,1,0,0,7600000000
1,2,10,100,2,4,1,,2,1,1,1,0,0,2300000000
1,2,11,98,2,0,1,,4,0,1,1,0,1,1550000000
1,2,8,55,1,17,1,,0,0,1,1,0,0,455000000
1,2,10,98,2,0,1,,3,0,1,1,0,1,1950000000
1,2,8,93,3,20,1,,4,0,0,1,1,1,600000000
1,2,10,170,3,7,1,,5,1,1,1,1,1,2900000000
1,2,87,22,1,22,0,0,-1,0,1,0,1,0,4200000000
1,2,88,1,3,1,0,,4,1,1,1,0,1,21500000000
1,2,10,15,3,15,0,3,10,1,1,1,1,0,18000000000
1,2,10,20,3,20,0,3,1,1,1,1,1,0,28210000000
1,2,10,170,3,5,1,,5,1,1,1,0,0,60000000
1,2,89,136,2,0,2,,3,1,1,1,0,1,25840000000
1,2,10,10,3,10,0,,5,1,1,1,0,1,25000000000
1,2,10,1,3,1,0,,3,1,1,1,0,1,26000000000
1,2,10,9,3,9,0,,5,1,1,1,0,0,25500000000
1,2,10,17,2,17,0,,3,1,1,1,1,1,17500000000
1,2,89,q,3,17,0,,3,1,1,1,0,1,17500000000
1,2,10,13,3,13,0,,3,1,1,1,0,1,24500000000
1,2,10,1,3,1,0,,3,1,1,1,0,1,34000000000
1,2,10,13,3,13,0,3,4,1,1,1,1,0,16500000000
1,2,10,11,3,11,0,3,2,1,1,1,0,1,22500000000
