MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,20,105,90,2,0,0,-1.0,2.0,1,1.0,1,0.0,1,4950000000.0
1,14,51,61,1,11,1,-1.0,2.0,0,1.0,0,0.0,0,500000000.0
1,12,47,53,1,22,0,0.0,1.0,0,0.0,0,1.0,0,4000000000.0
1,14,53,95,2,2,0,-1.0,2.0,1,0.0,1,0.0,0,4987500000.0
1,7,27,150,3,0,0,0.0,5.0,0,1.0,1,0.0,1,24500000000.0
1,14,51,87,2,0,0,-1.0,5.0,0,0.0,1,0.0,1,3045000000.0
1,5,95,75,2,14,0,-1.0,3.0,1,1.0,1,0.0,0,8150000000.0
1,20,74,150,3,0,1,-1.0,1.0,0,1.0,1,0.0,1,1400000000.0
1,10,38,113,2,0,0,0.0,2.0,0,1.0,1,0.0,1,5350000000.0
1,1,81,110,2,1,0,3.0,5.0,1,1.0,1,0.0,1,31500000000.0
1,17,63,112,2,6,1,-1.0,1.0,0,1.0,1,1.0,1,650000000.0
1,2,10,13,3,13,0,-1.0,3.0,1,1.0,1,0.0,1,24500000000.0
1,12,47,90,2,4,0,0.0,1.0,0,1.0,1,0.0,1,8300000000.0
1,1,81,135,3,1,0,3.0,6.0,1,1.0,1,0.0,1,37500000000.0
1,5,8,56,1,17,0,3.0,2.0,1,1.0,1,0.0,1,5600000000.0
1,15,55,76,2,3,1,-1.0,1.0,0,0.0,1,0.0,1,550000000.0
1,1,86,95,2,22,1,-1.0,2.0,1,1.0,1,1.0,1,1350000000.0
1,13,49,35,1,17,0,0.0,1.0,0,1.0,1,0.0,0,3000000000.0
1,11,44,83,2,6,1,-1.0,2.0,0,1.0,1,0.0,0,780000000.0
1,8,30,100,2,14,1,-1.0,3.0,0,1.0,1,1.0,1,1000000000.0
1,8,33,90,2,17,1,-1.0,3.0,0,1.0,1,0.0,1,700000000.0
1,2,8,46,1,14,0,-1.0,1.0,1,1.0,1,1.0,0,4360000000.0
1,5,22,60,1,14,1,-1.0,2.0,0,1.0,1,0.0,0,670000000.0
1,14,52,127,3,7,1,-1.0,2.0,0,1.0,1,0.0,0,1500000000.0
1,1,5,79,2,4,0,0.0,4.0,1,1.0,1,0.0,0,16200000000.0
1,13,49,62,2,18,0,0.0,2.0,9,1.0,0,1.0,1,3400000000.0
1,12,48,50,1,5,0,0.0,3.0,0,1.0,0,0.0,0,990000000.0
1,1,4,120,2,6,1,-1.0,3.0,1,1.0,1,1.0,1,1800000000.0
1,8,30,147,3,0,0,0.0,4.0,0,1.0,1,0.0,1,13965000000.0
1,4,17,149,3,15,1,-1.0,3.0,0,1.0,1,1.0,1,1750000000.0
1,2,10,13,3,13,0,3.0,4.0,1,1.0,1,1.0,0,16500000000.0
1,20,105,92,2,6,0,2.0,8.0,1,1.0,1,0.0,1,4800000000.0
1,10,41,73,2,7,0,3.0,4.0,1,1.0,1,0.0,1,5000000000.0
1,19,45,3,75,12,0,0.0,3.0,0,1.0,1,1.0,1,3500000000.0
1,9,35,70,2,1,0,3.0,2.0,1,1.0,1,0.0,1,4800000000.0
1,5,8,63,1,17,0,-1.0,6.0,1,1.0,1,1.0,0,6700000000.0
1,5,8,65,1,22,0,-1.0,0.0,0,1.0,1,0.0,0,5700000000.0
1,3,12,121,2,11,0,-1.0,1.0,0,1.0,1,1.0,0,15000000000.0
1,8,30,132,3,20,0,0.0,3.0,0,1.0,1,0.0,1,8300000000.0
1,5,100,64,1,19,0,-1.0,0.0,1,1.0,1,0.0,1,5500000000.0
1,10,41,84,2,5,1,-1.0,3.0,0,1.0,1,0.0,1,780000000.0
